"region";"key";"category";"value";"wat";"level"
"Not Lava";"std::tuple";"CONTAIN";"72.98";"10.70";"BEGINNER"
"Not Lava";"std::unique_ptr";"SMART";"90.02";"10.80";"BEGINNER"
"Not Lava";"std::valarray";"STL";"53.92";"45.20";"ADVANCED"
"Not Lava";"std::variant";"CONTAIN";"70.18";"14.40";"BEGINNER"
"Not Lava";"std::vector";"CONTAIN";"87.47";"13.90";"BEGINNER"
"Not Lava";"STL algorithms";"CONTAIN";"83.69";"15.90";"BEGINNER"
"Not Lava";"Strict aliasing rules";"MMM";"55.04";"24.50";"ADVANCED"
"Not Lava";"String literals (no suffix)";"C";"52.02";"10.70";"BEGINNER"
"Not Lava";"String literals with std::string suffix";"STL";"78.99";"14.80";"BEGINNER"
"Not Lava";"String view literals (with suffix)";"STL";"74.97";"18.20";"INTERMEDIATE"
"Not Lava";"struct";"OOP";"92.92";"4";"BEGINNER"
"Not Lava";"Subsumption";"TMP";"62.92";"64.50";"ADVANCED"
"Not Lava";"Templates";"TMP";"53.14";"12.40";"INTERMEDIATE"
"Not Lava";"Trivially movable/copyable";"STL";"87.99";"7.60";"ADVANCED"
"Not Lava";"Type Traits";"TMP";"88.41";"13.70";"ADVANCED"
"Not Lava";"UBSan (Undefined Behavior Sanitizer)";"TOOLS";"91.44";"11.30";"BEGINNER"
"Not Lava";"Values";"CPP";"91.48";"20.10";"BEGINNER"
"Not Lava";"Variadic templates";"TMP";"79.66";"11.50";"INTERMEDIATE"
"Not Lava";"Warnings";"TOOLS";"76.06";"6";"BEGINNER"
